Adaption,#,W,D,ID,t,ERR,RE,TAC,ODC,MDC,MV,ME,MO,,			
0,1,100,200,1.585,1687,0,0,3,5,3,7.2503,5.5757,8.1819,,RE: Target reentries			
0,2,100,300,2,1593,0,1,3,4,7,8.9343,6.4447,8.7586,,TAC: Total axis corssings			
0,201,70,250,2.1926,1203,0,0,3,4,1,26.502,17.177,30.368,,			
0,202,80,350,2.4263,1547,0,1,6,8,7,20.41,12.593,20.135,,			
0,203,70,250,2.1926,1984,0,1,5,4,4,29.969,27.216,39.426,,			
0,204,70,350,2.585,3000,0,1,2,5,3,25.496,19.612,25.154,,			
0,205,70,250,2.1926,1453,0,0,3,2,0,13.012,10.08,13.946,,			
0,206,70,250,2.1926,1516,0,0,3,5,2,5.7318,3.8122,5.5922,,			
0,207,70,350,2.585,1422,0,0,5,5,3,5.0605,3.5933,5.0707,,			
0,208,70,350,2.585,2750,0,0,5,7,7,18.849,17.729,25.416,,			
0,209,70,250,2.1926,2281,0,1,3,4,3,21.011,14.108,22.161,,			
0,210,70,350,2.585,5234,0,3,3,16,11,31.494,27.322,32.549,,			
0,211,70,250,2.1926,2125,0,0,3,6,3,13.212,9.7356,14.213,,			
0,212,80,350,2.4263,2110,0,0,2,3,5,39.823,32.141,39.092,,			
0,213,70,350,2.585,4843,0,2,7,10,13,44.385,36.695,44.234,,			
0,214,80,350,2.4263,1265,0,0,2,2,1,17.232,15.949,22.427,,			
0,215,80,250,2.0444,1875,0,0,3,6,5,12.783,11.109,16.642,,			
0,216,50,250,2.585,1593,0,0,2,3,5,16.561,13.018,18.206,,			
0,217,60,350,2.7726,2969,0,1,6,6,7,44.657,32.065,44.193,,			
0,218,60,350,2.7726,2625,0,0,6,9,8,36.705,29.4,43.102,,			
0,219,60,250,2.3692,4250,0,0,4,9,10,42.952,34.233,45.936,,			
0,220,60,350,2.7726,1891,0,0,3,3,5,43.974,28.095,44.039,,			
0,221,60,350,2.7726,4156,0,1,3,11,7,20.914,26.277,32.306,,			
0,222,50,250,2.585,2563,0,0,4,3,7,20.795,19.319,23.752,,			
0,223,60,350,2.7726,5547,0,1,7,12,12,38.321,28.333,43.233,,			
0,224,50,350,3,5718,0,0,3,13,11,21.959,25.085,31.539,,			
0,225,60,350,2.7726,1922,0,1,4,9,7,4.2267,4.1471,5.7997,,			
0,226,60,250,2.3692,3453,0,0,5,7,6,54.687,60.433,80.86,,			
0,227,50,350,3,3719,0,3,9,11,10,9.0871,6.6509,9.0599,,			
0,228,60,250,2.3692,1859,0,0,7,7,7,32.435,15.981,34.089,,			
0,229,60,250,2.3692,2797,0,1,3,9,8,18.496,10.985,18.253,,			
0,230,90,300,2.1155,3500,0,8,16,42,47,102.63,103.22,135.05,,			
0,231,100,300,2,2266,0,1,5,8,4,23.022,24.713,33.064,,			
0,232,100,300,2,2375,0,0,4,7,7,49.971,39.015,61.174,,			
0,233,90,300,2.1155,5328,0,2,3,15,10,45.202,66.933,78.783,,			
0,234,90,300,2.1155,2718,0,2,4,8,8,39.091,33.399,46.107,,			
0,235,90,300,2.1155,4140,0,1,9,12,8,52.057,44.181,58.592,,			
0,236,100,300,2,3407,0,1,8,8,12,11.467,9.4902,11.887,,			
0,237,90,200,1.6881,3969,0,4,9,12,12,71.575,35.06,74.781,,			
0,238,90,200,1.6881,3859,0,2,7,10,6,25.561,19.247,26.386,,			
0,239,90,300,2.1155,2250,0,3,6,21,25,139.15,124.14,166.14,,			
0,240,90,300,2.1155,1640,0,0,6,7,2,23.068,17.668,27.09,,			
0,241,100,300,2,2078,0,0,2,4,9,33.732,38.338,50.771,,			
0,242,90,300,2.1155,1500,0,0,4,4,4,19.02,13.288,18.644,,			
0,243,90,300,2.1155,1641,0,0,3,8,5,13.148,11.054,13.825,,			
0,244,100,200,1.585,1797,0,0,2,1,1,35.866,37.717,51.57,,			
0,245,100,200,1.585,2672,0,2,3,5,5,13.683,13.182,17.556,,			
0,246,90,200,1.6881,1515,0,0,6,6,3,25.822,15.665,25.37,,			
0,247,90,300,2.1155,1812,0,1,3,8,4,17.216,11.766,18.275,,			
0,248,90,300,2.1155,1594,0,0,5,6,5,26.913,16.36,27.463,,			
0,249,100,200,1.585,1390,0,7,11,46,36,109.42,95.681,109.97,,			
0,250,100,300,2,1516,0,0,3,4,2,12.834,10.017,12.848,,			
0,251,100,300,2,5265,0,2,8,11,22,74.617,73.802,94.632,,			
0,252,100,200,1.585,1563,0,4,2,25,33,90.631,118.33,148.64,,			
0,253,100,200,1.585,1984,0,0,2,5,1,11.827,8.7649,11.757,,			
0,254,100,300,2,1453,0,0,5,8,5,4.5621,3.311,4.8141,,			
0,255,90,300,2.1155,3016,0,1,2,4,6,61.738,52.126,62.248,,			
0,256,90,300,2.1155,1781,0,0,3,4,6,25.026,16.368,26.477,,			
